SMILES,PCE (%)
BrCCCCCCN1C2=CC=CC=C2SC=2C=C(C=CC12)C1=CC=2C(S1)=C(C1=C(SC(=C1)C=1C=CC=3N(C4=CC=CC=C4SC3C1)CCCCCCBr)C2SCCCCCC)SCCCCCC,18.26
O(C1=CC=C(C=C1)N(C2=CC=C(OC)C=C2)C3=CC=C(C=CC=C(C=4C=CC=CC4)C5=CC=CC=6C=CC=CC65)C=C3)C,11.63
O(C1=CC=C(C=C1)N(C2=CC=C(OC)C=C2)C3=CC=C(C=C3)C=4C=CC(=CC4)[Si](C=5C=CC(=CC5)C6=CC=C(C=C6)N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)(C=9C=CC(=CC9)C%10=CC=C(C=C%10)N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)C=%13C=CC(=CC%13)C%14=CC=C(C=C%14)N(C%15=CC=C(OC)C=C%15)C%16=CC=C(OC)C=C%16)C,14.15
N=1SN=C2C1C(=CC=C2C=3C=CC(=CC3)N4C5=CC=C(C=C5C=6C=C(C=CC64)N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)C%11=CC=C(C=C%11)N%12C%13=CC=C(C=C%13C=%14C=C(C=CC%14%12)N(C%15=CC=C(OC)C=C%15)C%16=CC=C(OC)C=C%16)N(C%17=CC=C(OC)C=C%17)C%18=CC=C(OC)C=C%18,16.87
O(C1=CC(=CC2=C1C=3C=CC(=CC3C2(C=4C=CC=CC4)C=5C=CC=CC5)C6=CC=C(C=C6)N7C=8C=CC=CC8C=9C=CC=CC97)C=%10C=CC(=CC%10)N%11C=%12C=CC=CC%12C=%13C=CC=CC%13%11)CCCCCCN%14C=%15C=CC=CC%15C=%16C=CC=CC%16%14,13.06
O=C1C(C=2SC=C(C=3C=CC(=CC3)N(C=4C=CC=CC4)C=5C=CC=CC5)C2N1CC(CC)CCCC)=C6C(=O)N(C7=C6SC=C7C8=CC=C(C=C8)N9C=%10C=CC=CC%10C=%11C=CC=CC%119)CC(CC)CCCC,11.7
C=1C=CC2=C(C1)C3=CC=C(C=C3C2(C)C)N(C4=CC=C(C=C4)C=5C=C6C7=C(C5)C(C8=CC(=CC9=C8N7C=%10C(=CC(=CC%10C9(C)C)C%11=CC=C(C=C%11)N(C%12=CC=C%13C=%14C=CC=CC%14C(C%13=C%12)(C)C)C%15=CC=C%16C=%17C=CC=CC%17C(C%16=C%15)(C)C)C6(C)C)C%18=CC=C(C=C%18)N(C%19=CC=C%20C=%21C=CC=CC%21C(C%20=C%19)(C)C)C%22=CC=C%23C=%24C=CC=CC%24C(C%23=C%22)(C)C)(C)C)C%25=CC=C%26C=%27C=CC=CC%27C(C%26=C%25)(C)C,14.2
O(C1=CC=C(C=C1)N(C2=CC=C(OC)C=C2)C3=CC=C(C=C3)C=4SC=5C=6SC(=CC6[Si](C5C4)(CCCCCC)CCCCCC)C=7C=CC(=CC7)N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)C,11.7
O=C1C=2C=C(SC2C=3SC(=CC3C(=O)N1CCCCCCCC)C=4C=CC(=CC4)N5C6=CC=C(C=C6C=7C=C(C=CC75)N8C9=CC=C(OC)C=C9C=%10C=C(OC)C=CC%108)N%11C%12=CC=C(OC)C=C%12C=%13C=C(OC)C=CC%13%11)C%14=CC=C(C=C%14)N%15C%16=CC=C(C=C%16C=%17C=C(C=CC%17%15)N%18C%19=CC=C(OC)C=C%19C=%20C=C(OC)C=CC%20%18)N%21C%22=CC=C(OC)C=C%22C=%23C=C(OC)C=CC%23%21,21.35
C(CCCCC)N1C=2C=CC(=CC2C=2C1=C1C(=C3C=4C=C(C=CC4N(C23)CCCCCC)C2=C(C=C(S2)C=C(C#N)C#N)CCCCCC)N(C=2C=CC(=CC21)C2=C(C=C(S2)C=C(C#N)C#N)CCCCCC)CCCCCC)C2=C(C=C(S2)C=C(C#N)C#N)CCCCCC,8.88
